"Wavelength, µm","n"
0.028004846,0.84269859
0.028104449,0.84147374
0.028204353,0.84027191
0.028304656,0.83903043
0.028404359,0.8377965
0.028504263,0.83657831
0.028604066,0.83536661
0.028704469,0.83418006
0.028804773,0.83298096
0.028904176,0.83172521
0.029004579,0.83044385
0.029104383,0.829165
0.029204086,0.82791292
0.029304389,0.82664087
0.029404293,0.82536948
0.029504197,0.82409119
0.0296047,0.82272018
0.029704103,0.82137814
0.029804507,0.82003004
0.02990461,0.81863368
0.030004714,0.81721318
0.030104617,0.8159191
0.03020402,0.81480913
0.030304623,0.8137132
0.030404427,0.81246471
0.03050453,0.81109173
0.030604633,0.80970143
0.030704137,0.80840346
0.03080444,0.80718112
0.030904743,0.80595977
0.031004247,0.80467649
0.03110405,0.80335162
0.031204654,0.80199516
0.031304258,0.80060791
0.03140446,0.79921162
0.031504964,0.79788815
0.031604167,0.79663757
0.031704771,0.79532535
0.031804674,0.79392909
0.031904477,0.79253007
0.032004381,0.79107851
0.032104485,0.78959932
0.032204888,0.78816825
0.032304491,0.78669973
0.032404594,0.78519052
0.032504698,0.78366645
0.032604801,0.78225154
0.032704505,0.78089499
0.032804808,0.77946044
0.032904211,0.77803607
0.033004315,0.77665643
0.033105119,0.77522707
0.033204521,0.77382504
0.033304625,0.77237967
0.033405028,0.77082109
0.033504231,0.76928032
0.033604035,0.7678632
0.033704638,0.76657939
0.033804342,0.76510549
0.033904845,0.76337682
0.034004948,0.7616379
0.034104852,0.76000828
0.034204756,0.7584565
0.034304358,0.75702902
0.034404962,0.75563001
0.034504166,0.75404294
0.034604969,0.75241693
0.034704572,0.75074487
0.034804676,0.74905748
0.034904579,0.74734313
0.035004682,0.74571436
0.035104386,0.74435013
0.035204689,0.74300672
0.035304592,0.74141731
0.035404496,0.73994933
0.0355048,0.738819
0.035604902,0.73767071
0.035704306,0.73617234
0.035804409,0.73416858
0.035904612,0.73245024
0.036003916,0.73056275
0.036103819,0.72847292
0.036204123,0.72631087
0.036304926,0.72472722
0.03640413,0.72313332
0.036504233,0.72198136
0.036604637,0.72146433
0.03670454,0.72026913
0.036804843,0.71828363
0.036905047,0.71549505
0.037004949,0.7139934
0.037104854,0.7126971
0.037204957,0.71100539
0.03730436,0.70872471
0.037404563,0.70649299
0.037505167,0.70496705
0.03760497,0.70374654
0.037704873,0.702719
0.037804976,0.70106293
0.03790468,0.69894718
0.038004583,0.69709042
0.038104687,0.69534169
0.03820479,0.69354069
0.038304594,0.69169817
0.038404797,0.68906982
0.038505401,0.687175
0.038604504,0.68586933
0.038704708,0.68396849
0.038804711,0.68186372
0.038904413,0.67992503
0.039004718,0.67872969
0.03910482,0.67763768
0.039204724,0.67605829
0.039304827,0.67447753
0.039404731,0.67228324
0.039504834,0.66935678
0.039604738,0.66650902
0.039705041,0.66423754
0.039804945,0.66260697
0.039904548,0.66065698
0.040005051,0.65873101
0.040104754,0.65650874
0.040204858,0.65467306
0.040304562,0.652436
0.040404465,0.64966966
0.040504568,0.64713595
0.040816868,0.63903911
0.043722322,0.56931573
0.046086721,0.5157876
0.049471058,0.47727774
0.053758338,0.47597027
0.058101961,0.49932099
0.062073823,0.51832918
0.067202269,0.56548039
0.070088155,0.61199421
0.0740025,0.67814318
0.081755059,0.78278548
0.092003107,0.89591042
0.097098269,0.96357795
0.10250346,1.089581
0.109653786,1.2697829
0.116203928,1.4152583
0.121604103,1.5247536
0.12407138,1.5701942
0.133604513,1.7326671
0.140304739,1.8391299
0.140655101,1.8451791
0.161096201,2.1267853
0.171663837,2.2489783
0.183864919,2.3714873
0.190566437,2.4380879
0.192886514,2.4627742
0.195966618,2.4967446
0.199046723,2.529583
0.202126827,2.5577295
0.205206932,2.5802986
0.208287033,2.5989867
0.21137714,2.6197086
0.214457243,2.6393963
0.217537345,2.6576943
0.22061745,2.6773275
0.223697557,2.6958045
0.226777658,2.7153027
0.229857762,2.7374869
0.232947868,2.7603096
0.23602797,2.7812843
0.239108077,2.8030147
0.242188181,2.8258937
0.245268285,2.8504367
0.248348388,2.8765733
0.251428494,2.9032963
0.254518594,2.9303378
0.257598702,2.9559273
0.260678802,2.979005
0.263758909,2.9982447
0.26684901,3.0126255
0.269919115,3.021569
0.273009223,3.0270447
0.276089326,3.0314969
0.279169428,3.0351181
0.282249534,3.0387429
0.285339638,3.0425312
0.288409743,3.0467103
0.291489843,3.0522426
0.294569947,3.0575947
0.297660054,3.061814
0.300740159,3.065717
0.303820261,3.0691645
0.306900365,3.0721648
0.309990468,3.0753112
